id,title,authors,year,venue,search_strings
170,"Pancreatic Cancer: Changing Epidemiology and New Approaches to Risk Assessment, Early Detection, and Prevention",Elena M. Stoffel; Randall E. Brand; Michael Goggins,2023,Gastroenterology,String A
171,The mechanisms and roles of selective autophagy in mammals,Jose Norberto S. Vargas; Maho Hamasaki; Tsuyoshi Kawabata; Richard J. Youle; Tamotsu Yoshimori,2022,Nature Reviews Molecular Cell Biology,String A
172,Galectin-9 interacts with PD-1 and TIM-3 to regulate T cell death and is a target for cancer immunotherapy,Ri‐Yao Yang; Linlin Sun; Ching-Fei Li; Yuhan Wang; Jun Yao; Hui Li; Meisi Yan; Wei-Chao Chang; Jung-Mao Hsu; Jong‐Ho Cha; Jennifer L. Hsu; Cheng-Wei Chou; Xian Wen Sun; Yalan Deng; Chao‐Kai Chou; Dihua Yu; Mien‐Chie Hung,2021,Nature Communications,String A
173,Salt stress under the scalpel – dissecting the genetics of salt tolerance,Mitchell J. L. Morton; Mariam Awlia; Nadia Al‐Tamimi; Stephanie Saadé; Yveline Pailles; Sónia Negrão; Mark Tester,2018,The Plant Journal,String A
174,CRISPR/Cas9 therapeutics: progress and prospects,Tianxiang Li; Yanyan Yang; Hongzhao Qi; Weigang Cui; Lin Zhang; Xiuxiu Fu; Xiangqin He; Meixin Liu; Peifeng Li; Tao Yu,2023,Signal Transduction and Targeted Therapy,String A
175,Therapeutic peptides: current applications and future directions,Lei Wang; Nanxi Wang; Wenping Zhang; Xurui Cheng; Zhibin Yan; Gang Shao; Xi Wang; Rui Wang; Caiyun Fu,2022,Signal Transduction and Targeted Therapy,String A
176,Understanding the complexity of p53 in a new era of tumor suppression,Yanqing Liu; Zhenyi Su; Omid Tavana; Wei Gu,2024,Cancer Cell,String A
177,Genome Editing in Apple,Chikako Nishitani; Keishi Osakabe; Yuriko Osakabe,2021,Compendium of plant genomes,String A
178,Signatures of copy number alterations in human cancer,Christopher D. Steele; Ammal Abbasi; S. M. Ashiqul Islam; Amy L. Bowes; Azhar Khandekar; Kerstin Haase; Shadi Hames-Fathi; Dolapo Ajayi; Annelien Verfaillie; Pawan Dhami; Alex P. McLatchie; Matt Lechner; Nicholas Light; Adam Shlien; David Malkin; Andrew Feber; Paula Proszek; Tom Lesluyes; Fredrik Mertens; Adrienne M. Flanagan; Maxime Tarabichi; Peter Van Loo; Ludmil B. Alexandrov; Nischalan Pillay,2022,Nature,String A
179,Multi-omics approaches for biomarker discovery in early ovarian cancer diagnosis,Yinan Xiao; Meiyu Bi; Hongyan Guo; Mo Li,2022,EBioMedicine,String A
180,Structural Insight into the Substrate Gating Mechanism by <i>Staphylococcus aureus</i> Aldehyde Dehydrogenase,Xuan Tao; Zhemin Zhang; Xiao Zhang; Hongyan Li; Hongzhe Sun; Zong‐Wan Mao; Wei Xia,2020,CCS Chemistry,String A
181,"Machine Learning for Lung Cancer Diagnosis, Treatment, and Prognosis",Yawei Li; Wu Xin; Ping Yang; Guoqian Jiang; Yuan Luo,2022,Genomics Proteomics & Bioinformatics,String A
182,"Characterizing genetic intra-tumor heterogeneity across 2,658 human cancer genomes",Stefan C. Dentro; Ignaty Leshchiner; Kerstin Haase; Maxime Tarabichi; Jeff Wintersinger; Amit G. Deshwar; Kaixian Yu; Yulia Rubanova; Geoff Macintyre; Jonas Demeulemeester; Ignacio Vázquez-Garćıa; Kortine Kleinheinz; Dimitri Livitz; Salem Malikić; Nilgun Donmez; Subhajit Sengupta; Pavana Anur; Clemency Jolly; Marek Cmero; Daniel Rosebrock; Steven E. Schumacher; Yu Fan; Matthew W. Fittall; Ruben M. Drews; Xiaotong Yao; Thomas B.K. Watkins; Ju‐Hee Lee; Matthias Schlesner; Hongtu Zhu; David J. Adams; Nicholas McGranahan; Charles Swanton; Gad Getz; Paul C. Boutros; Marcin Imieliński; Rameen Beroukhim; S. Cenk Şahinalp; Yuan Ji; Martin Peifer; Iñigo Martincorena; Florian Markowetz; Ville Mustonen; Ke Yuan; Moritz Gerstung; Paul T. Spellman; Wenyi Wang; Quaid Morris; David C. Wedge; Peter Van Loo; Stefan C. Dentro; Ignaty Leshchiner; Moritz Gerstung; Clemency Jolly; Kerstin Haase; Maxime Tarabichi; Jeff Wintersinger; Amit G. Deshwar; Kaixian Yu; Santiago González; Yulia Rubanova; Geoff Macintyre; Jonas Demeulemeester; David J. Adams; Pavana Anur; Rameen Beroukhim; Paul C. Boutros; David D.L. Bowtell; Peter J. Campbell; Shaolong Cao; Elizabeth L. Christie; Marek Cmero; Yupeng Cun; Kevin J. Dawson; Nilgun Donmez; Ruben M. Drews; Roland Eils; Yu Fan; Matthew W. Fittall; Dale W. Garsed; Gad Getz; Gavin Ha; Marcin Imieliński; Lara Jerman; Yuan Ji; Kortine Kleinheinz; Juhee Lee; Henry Lee-Six; Dimitri Livitz; Salem Malikić; Florian Markowetz; Iñigo Martincorena; Thomas J. Mitchell; Ville Mustonen; Layla Oesper; Martin Peifer; Myron Peto; Benjamin J. Raphael; Daniel Rosebrock; S. Cenk Şahinalp; Adriana Salcedo,2021,Cell,String A
183,Microalgae as a future food source,Yasin Torres-Tiji; Francis J. Fields; Stephen P. Mayfield,2020,Biotechnology Advances,String A
184,DeepFL: integrating multiple fault diagnosis dimensions for deep fault localization,Li Xia; Wei Li; Yuqun Zhang; Lingming Zhang,2019,,String A
185,Integrating Artificial Intelligence for Drug Discovery in the Context of Revolutionizing Drug Delivery,Anita Ioana Vișan; Irina Neguț,2024,Life,String A
186,Alternative tumour-specific antigens,Christof C. Smith; Sara R. Selitsky; Shengjie Chai; Paul M. Armistead; Benjamin G. Vincent; Jonathan S. Serody,2019,Nature reviews. Cancer,String A
187,Modulating biomolecular condensates: a novel approach to drug discovery,Diana M. Mitrea; Matthäus Mittasch; Beatriz Ferreira Gomes; Isaac A. Klein; Mark A. Murcko,2022,Nature Reviews Drug Discovery,String A
188,Structure and Function of the 26S Proteasome,Jared A.M. Bard; Ellen A. Goodall; Eric R. Greene; Erik Jönsson; Ken C. Dong; Andreas Martin,2018,Annual Review of Biochemistry,String A
189,Next-Generation Breeding Strategies for Climate-Ready Crops,Ali Razzaq; Parwinder Kaur; Naheed Akhter; Shabir Hussain Wani; Fozia Saleem,2021,Frontiers in Plant Science,String A
190,Single-cell and bulk transcriptome sequencing identifies two epithelial tumor cell states and refines the consensus molecular classification of colorectal cancer,Ignasius Joanito; Pratyaksha Wirapati; Nancy Q. Zhao; Zahid Nawaz; Grace Hui Ting Yeo; Fiona Lee; Christine Eng; Dominique C. Macalinao; Merve Kahraman; Harini Srinivasan; Vairavan Lakshmanan; Sara Verbandt; Petros Tsantoulis; Nicole Gunn; Prasanna Nori Venkatesh; Zhong Wee Poh; Rahul Nahar; Hsueh Ling Janice Oh; Jia Min Loo; Shumei Chia; Lih Feng Cheow; Elsie Cheruba; Michael T. Wong; Lindsay Kua; Clarinda Chua; Andrew Nguyen; Justin Golovan; Anna Gan; Wan-Jun Lim; Yu Amanda Guo; Choon Kong Yap; Brenda Tay; Yourae Hong; Dawn Q. Chong; Aik Yong Chok; Woong‐Yang Park; Shuting Han; Mei Huan Chang; Isaac Seow‐En; Cherylin Fu; Ronnie Mathew; Ee‐Lin Toh; Lewis Z. Hong; Anders J. Skanderup; Ramanuj DasGupta; Chin‐Ann Johnny Ong; Kiat Hon Lim; Emile Tan; Si‐Lin Koo; Wei Qiang Leow; Sabine Tejpar; Shyam Prabhakar; Iain Beehuat Tan,2022,Nature Genetics,String A
191,Hachimoji DNA and RNA: A genetic system with eight building blocks,Shuichi Hoshika; Nicole A. Leal; Myong‐Jung Kim; Myong‐Sang Kim; Nilesh B. Karalkar; Hyo‐Joong Kim; Alison M. Bates; Norman E. Watkins; Holly A. SantaLucia; Adam J. Meyer; Saurja DasGupta; Joseph A. Piccirilli; Andrew D. Ellington; John SantaLucia; Millie M. Georgiadis; Steven A. Benner,2019,Science,String A
192,Genetic load: genomic estimates and applications in non-model animals,Giorgio Bertorelle; Francesca Raffini; Mirte Bosse; Chiara Bortoluzzi; Alessio Iannucci; Emiliano Trucchi; Hernán E. Morales; Cock van Oosterhout,2022,Nature Reviews Genetics,String A
193,Somatic mutation landscapes at single-molecule resolution,Federico Abascal; Luke M. R. Harvey; Emily Mitchell; Andrew Lawson; Stefanie V. Lensing; Peter Ellis; Andrew J. C. Russell; Raul E. Alcantara; Adrian Baez‐Ortega; Yichen Wang; Eugene Jing Kwa; Henry Lee-Six; Alex Cagan; Tim Coorens; Michael Spencer Chapman; Sigurgeir Ólafsson; Steven Leonard; David Jones; Heather E. Machado; Megan Davies; Nina Friesgaard Øbro; Krishnaa T. Mahubani; Kieren Allinson; Moritz Gerstung; Kourosh Saeb‐Parsy; David G. Kent; Elisa Laurenti; Michael R. Stratton; Raheleh Rahbari; Peter J. Campbell; Robert J. Osborne; Iñigo Martincorena,2021,Nature,String A
194,Whole-genome sequences of Malawi cichlids reveal multiple radiations interconnected by gene flow,Milan Malinsky; Hannes Svardal; Alexandra M. Tyers; Eric A. Miska; Martin J. Genner; George F. Turner; Richard Durbin,2018,Nature Ecology & Evolution,String A
195,Small molecule metabolites: discovery of biomarkers and therapeutic targets,Shi Qiu; Ying Cai; Hong Yao; Chunsheng Lin; Yiqiang Xie; Songqi Tang; Aihua Zhang,2023,Signal Transduction and Targeted Therapy,String A
196,Loss of epigenetic information as a cause of mammalian aging,Jae-Hyun Yang; Motoshi Hayano; Patrick Griffin; João A. Amorim; Michael S. Bonkowski; John K. Apostolides; Elias Salfati; Marco Blanchette; Elizabeth M. Munding; Mital S. Bhakta; Yap Ching Chew; Wei Guo; Xiaojing Yang; Sun Y. Maybury‐Lewis; Xiao Tian; Jaime M. Ross; Giuseppe Coppotelli; Margarita Meer; Ryan Rogers-Hammond; Daniel L. Vera; Yuancheng Ryan Lu; Jeffrey W. Pippin; Michael Creswell; Zhixun Dou; Caiyue Xu; Sarah J. Mitchell; Abhirup Das; Brendan L. O’Connell; Sachin Thakur; Alice E. Kane; Qiao Su; Yasuaki Mohri; Emi K. Nishimura; Laura Schaevitz; Neha Garg; Ana-Maria Balta; Meghan A. Rego; Meredith Gregory‐Ksander; Tatjana Jakobs; Lei Zhong; Hiroko Wakimoto; Jihad El Andari; Dirk Grimm; Raúl Mostoslavsky; Amy J. Wagers; Kazuo Tsubota; Stephen J. Bonasera; Carlos M. Palmeira; Jonathan G. Seidman; Christine E. Seidman; Norman S. Wolf; Jill A. Kreiling; John M. Sedivy; Gëorge F. Murphy; Richard E. Green; Benjamin A. García; Shelley L. Berger; Philipp Oberdoerffer; Stuart J. Shankland; Vadim N. Gladyshev; Bruce R. Ksander; Andreas R. Pfenning; Luis A. Rajman; David Sinclair,2023,Cell,String A
197,Seed Science and Technology,Malavika Dadlani; Devendra Kumar Yadava,2023,,String A
198,Radiomics and radiogenomics in gliomas: a contemporary update,Gagandeep Singh; Sunil Manjila; Nicole Sakla; Alan True; Amr H. Wardeh; Niha Beig; Anatoliy Vaysberg; John W. Matthews; Prateek Prasanna; Vadim Spektor,2021,British Journal of Cancer,String A
199,Microalgae for the production of lipid and carotenoids: a review with focus on stress regulation and adaptation,Xiao‐Man Sun; Lujing Ren; Quanyu Zhao; Xiao‐Jun Ji; He Huang,2018,Biotechnology for Biofuels,String A
200,Recent trends in biocatalysis,Dong Yi; Thomas Bayer; Christoffel P. S. Badenhorst; Shuke Wu; Mark Doerr; Matthias Höhne; Uwe T. Bornscheuer,2021,Chemical Society Reviews,String A
201,Microbial production of advanced biofuels,Jay D. Keasling; Héctor García Martín; Taek Soon Lee; Aindrila Mukhopadhyay; Steven W. Singer; Eric Sundström,2021,Nature Reviews Microbiology,String A
202,Neoantigen: A New Breakthrough in Tumor Immunotherapy,Zheying Zhang; Manman Lu; Yu Qin; Wuji Gao; Tao Li; Wei Su; Jiateng Zhong,2021,Frontiers in Immunology,String A
203,Comprehensive molecular characterization of mitochondrial genomes in human cancers,Yuan Yuan; Young Seok Ju; Young-Wook Kim; Jun Li; Yumeng Wang; Sung-Soo Yoon; Yang Yang; Iñigo Martincorena; Chad J. Creighton; John N. Weinstein; Yanxun Xu; Leng Han; Hyung‐Lae Kim; Hidewaki Nakagawa; Keunchil Park; Peter J. Campbell; Han Liang; Lauri A. Aaltonen; Federico Abascal; Adam Abeshouse; Hiroyuki Aburatani; David J. Adams; Nishant Agrawal; Keun Soo Ahn; Sung-Min Ahn; Hiroshi Aikata; Rehan Akbani; Kadir C. Akdemir; Hikmat Al‐Ahmadie; Sultan T. Al‐Sedairy; Fátima Al‐Shahrour; Malik Alawi; Monique Albert; Kenneth Aldape; Ludmil B. Alexandrov; Adrian Ally; Kathryn Alsop; Eva G. Álvarez; Fernanda Amary; Samirkumar B. Amin; Brice Aminou; Ole Ammerpohl; Matthew J. Anderson; Yeng Ang; Davide Antonello; Pavana Anur; Samuel Aparício; Elizabeth L. Appelbaum; Yasuhito Arai; Axel Aretz; Koji Arihiro; Shun‐ichi Ariizumi; Joshua Armenia; Laurent Arnould; L. Sylvia; Yassen Assenov; Gurnit Atwal; Sietse Aukema; J. Todd Auman; Miriam R. R. Aure; Philip Awadalla; Marta Aymerich; Gary D. Bader; Adrian Baez‐Ortega; Matthew H. Bailey; Peter J. Bailey; Miruna Balasundaram; Saianand Balu; Pratiti Bandopadhayay; Rosamonde E. Banks; Stefano Barbi; Andrew P. Barbour; Jonathan Barenboim; Jill S. Barnholtz‐Sloan; Hugh Barr; Elisabet Barrera; John Bartlett; Javier Bartolomé; Claudio Bassi; Oliver F. Bathe; Daniel Baumhoer; Prashant Bavi; Stephen B. Baylin; Wojciech Bażant; Duncan Beardsmore; Timothy A. Beck; Sam Behjati; Andreas Behren; Beifang Niu; Cindy Bell; Sergi Beltrán; Christopher C. Benz; Andrew Berchuck; Anke Bergmann; Erik N. Bergstrom; Benjamin P. Berman; Daniel M. Berney; Stephan H. Bernhart; Rameen Beroukhim; Mario Berríos,2020,Nature Genetics,String A
204,Artificial intelligence for aging and longevity research: Recent advances and perspectives,Alex Zhavoronkov; Polina Mamoshina; Quentin Vanhaelen; Morten Scheibye‐Knudsen; Alexey Moskalev; Alex Aliper,2018,Ageing Research Reviews,String A
205,"Artificial Intelligence in Colorectal Cancer Screening, Diagnosis and Treatment. A New Era",Athanasia Mitsala; Christos Tsalikidis; Μichail Pitiakoudis; Constantinos Simopoulos; Alexandra Tsaroucha,2021,Current Oncology,String A
206,A topology-based network tree for the prediction of protein–protein binding affinity changes following mutation,Menglun Wang; Zixuan Cang; Guo‐Wei Wei,2020,Nature Machine Intelligence,String A
207,Functional Domains of NEAT1 Architectural lncRNA Induce Paraspeckle Assembly through Phase Separation,Tomohiro Yamazaki; Sylvie Souquère; Takeshi Chujo; Simon Kobelke; Yee Seng Chong; Archa H. Fox; Charles S. Bond; Shinichi Nakagawa; Gérard Pierron; Tetsuro Hirose,2018,Molecular Cell,String A
208,Host and viral determinants of influenza A virus species specificity,Jason S. Long; Bhakti Mistry; Stuart M. Haslam; William Barclay,2018,Nature Reviews Microbiology,String A
209,Current Challenges of iPSC-Based Disease Modeling and Therapeutic Implications,Michael Xavier Doss; Agapios Sachinidis,2019,Cells,String A
210,The amyloid cascade hypothesis: an updated critical review,Kasper P. Kepp; Nikolaos K. Robakis; Poul Flemming Høilund‐Carlsen; Stefano L. Sensi; Bryce Vissel,2023,Brain,String A
211,Machine Learning-Guided Protein Engineering,Petr Kouba; Pavel Kohout; Faraneh Haddadi; Anton Bushuiev; Raman Samusevich; Jiří Sedlář; Jiřı́ Damborský; Tomáš Pluskal; Josef Šivic; Stanislav Mazurenko,2023,ACS Catalysis,String A
212,Influenza Virus Neuraminidase Structure and Functions,Julie McAuley; Brad Gilbertson; Sanja Trifkovic; Lorena E. Brown; Jennifer L. McKimm‐Breschkin,2019,Frontiers in Microbiology,String A
213,Induction of the Hajdu-Cheney Syndrome Mutation in CD19 B Cells in Mice Alters B-Cell Allocation but Not Skeletal Homeostasis,Jungeun Yu; Stefano Zanotti; Lauren Schilling; Chris Schoenherr; Aris N. Economides; Archana Sanjay; Ernesto Canalis,2018,American Journal Of Pathology,String A
214,Early stage of biofilm assembly on microplastics is structured by substrate size and bacterial motility,Peng Qin; Han Cui; Panxin Li; Shuaitao Wang; Shen Fan; Jie Lu; Meng Sun; Heng Zhang; Shougang Wang; Xiaoyan Su; Hui‐Hui Fu; Xiaoli Hu; Jinshui Lin; Yu‐Zhong Zhang; Wei Ding; Weipeng Zhang,2023,iMeta,String A
215,Applications of patient-derived tumor xenograft models and tumor organoids,Go J. Yoshida,2020,Journal of Hematology & Oncology,String A
216,Improving clinical trial outcomes in amyotrophic lateral sclerosis,Matthew C. Kiernan; Steve Vucic; Kevin Talbot; Christopher McDermott; Orla Hardiman; Jeremy M. Shefner; Ammar Al‐Chalabi; William Huynh; Merit Cudkowicz; Paul Talman; Leonard H. van den Berg; Thanuja Dharmadasa; Paul Wicks; C.M. Reilly; Martin R. Turner,2020,Nature Reviews Neurology,String A
217,A review of artificial intelligence applied to path planning in UAV swarms,Alejandro Puente-Castro; Daniel Rivero; Alejandro Pazos; Enrique Fernández-Blanco,2021,Neural Computing and Applications,String A
218,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Joel Lehman; Jeff Clune; Dusan Misevic; Christoph Adami; Lee Altenberg; Julie Beaulieu; Peter J. Bentley; S BERNARD; Guillaume Beslon; David M. Bryson; Nick Cheney; Patryk Chrabąszcz; Antoine Cully; Stéphane Doncieux; Fred C. Dyer; Kai Olav Ellefsen; Robert Feldt; Stephan Fischer; Stephanie Forrest; Antoine Frénoy; Christian Gagné; Léni Le Goff; Laura M. Grabowski; Babak Hodjat; Frank Hutter; Laurent Keller; Carole Knibbe; Peter Krčah; Richard E. Lenski; Hod Lipson; Robert MacCurdy; Carlos Maestre; Risto Miikkulainen; Sara Mitri; David E. Moriarty; Jean-Baptiste Mouret; Anh Nguyen; Charles Ofria; Marc Parizeau; David Parsons; Robert T. Pennock; William F. Punch; Thomas S. Ray; Marc Schoenauer; Eric Schulte; Karl Sims; Kenneth O. Stanley; François Taddei; Danesh Tarapore; Simon Thibault; Richard A. Watson; Westley Weimer; Jason Yosinski,2020,Artificial Life,String A
219,"An update on the molecular biology of glioblastoma, with clinical implications and progress in its treatment",Elena Verdugo; Iker Puerto; Miguel Ángel Medina,2022,Cancer Communications,String A
220,Detection of Plant Viruses and Disease Management: Relevance of Genetic Diversity and Evolution,Luís Rubio; Luis Galipienso; Inmaculada Ferriol,2020,Frontiers in Plant Science,String A
221,High-throughput immune repertoire analysis with IGoR,Quentin Marcou; Thierry Mora; Aleksandra M. Walczak,2018,Nature Communications,String A
222,FoldX as Protein Engineering Tool: Better Than Random Based Approaches?,O. Buß; Jens Rudat; Katrin Ochsenreither,2018,Computational and Structural Biotechnology Journal,String A
223,Allostery in Its Many Disguises: From Theory to Applications,Shoshana J. Wodak; Emanuele Paci; Nikolay V. Dokholyan; Igor N. Berezovsky; Amnon Horovitz; Jing Li; Vincent J. Hilser; İvet Bahar; John Karanicolas; Gerhard Stock; Peter Hamm; Roland H. Stote; Jérôme Eberhardt; Yassmine Chebaro; Annick Dejaegere; Marco Cecchini; Jean‐Pierre Changeux; Peter G. Bolhuis; Jocelyne Vreede; Pietro Faccioli; Simone Orioli; Riccardo Ravasio; Le Yan; Carolina Brito; Matthieu Wyart; Paraskevi Gkeka; Ivan Rivalta; Giulia Palermo; J. Andrew McCammon; Joanna Panecka-Hofman; Rebecca C. Wade; Antonella Di Pizio; Masha Y. Niv; Ruth Nussinov; Chung‐Jung Tsai; Hyunbum Jang; Dzmitry Padhorny; Dima Kozakov; Tom McLeish,2019,Structure,String A
224,"CAR T Cells for Solid Tumors: New Strategies for Finding, Infiltrating, and Surviving in the Tumor Microenvironment",Marina C. Martinez; Edmund K. Moon,2019,Frontiers in Immunology,String A
225,Application of Artificial Intelligence Technology in Oncology: Towards the Establishment of Precision Medicine,Ryuji Hamamoto; Kruthi Suvarna; Masayoshi Yamada; Kazuma Kobayashi; Norio Shinkai; Mototaka Miyake; Masamichi Takahashi; Shunichi Jinnai; Ryo Shimoyama; Akira Sakai; Ken Takasawa; Amina Bolatkan; Kanto Shozu; Ai Dozen; Hidenori Machino; Satoshi Takahashi; Ken Asada; Masaaki Komatsu; Jun Sese; Syuzo Kaneko,2020,Cancers,String A
226,Pathological angiogenesis: mechanisms and therapeutic strategies,Andrew C. Dudley; Arjan W. Griffioen,2023,Angiogenesis,String A
227,Aptamers: A Review of Their Chemical Properties and Modifications for Therapeutic Application,Tatsuo Adachi; Yoshikazu Nakamura,2019,Molecules,String A
228,"Insights into Pathogenic Interactions Among Environment, Host, and Tumor at the Crossroads of Molecular Pathology and Epidemiology",Shuji Ogino; Jonathan A. Nowak; Tsuyoshi Hamada; Danny A. Milner; Reiko Nishihara,2018,Annual Review of Pathology Mechanisms of Disease,String A
229,Mechanisms of α-Synuclein Induced Synaptopathy in Parkinson's Disease,Jéssika Cristina Bridi; Frank Hirth,2018,Frontiers in Neuroscience,String A
230,Drug Repurposing for Rare Diseases,Helen I. Roessler; Nine Knoers; Mieke M. van Haelst; Gijs van Haaften,2021,Trends in Pharmacological Sciences,String A
231,Opportunities and Challenges for Machine Learning-Assisted Enzyme Engineering,Jason Yang; Francesca-Zhoufan Li; Frances H. Arnold,2024,ACS Central Science,String A
232,A common genetic mechanism underlies morphological diversity in fruits and other plant organs,Shan Wu; Biyao Zhang; Neda Keyhaninejad; Gustavo Rodríguez; Hyun Jung Kim; Manohar Chakrabarti; Eudald Illa-Berenguer; Nathan Taitano; María José Gonzalo; Aurora Díaz; Yupeng Pan; Courtney P. Leisner; Dennis Halterman; C. Robin Buell; Yiqun Weng; Shelley Jansky; Herman J. van Eck; Johan Willemsen; Antonio J. Monforte; Tea Meulia; Esther van der Knaap,2018,Nature Communications,String A
233,Multiplexed CRISPR technologies for gene editing and transcriptional regulation,Nicholas S. McCarty; Alicia E. Graham; Lucie Studená; Rodrigo Ledesma‐Amaro,2020,Nature Communications,String A
234,MVP predicts the pathogenicity of missense variants by deep learning,Hongjian Qi; Haicang Zhang; Yige Zhao; Chen Chen; John J. Long; Wendy K. Chung; Yongtao Guan; Yufeng Shen,2021,Nature Communications,String A
235,Engineering Robust Production Microbes for Large-Scale Cultivation,Maren Wehrs; Deepti Tanjore; Thomas Eng; Jeff Lievense; Todd Pray; Aindrila Mukhopadhyay,2019,Trends in Microbiology,String A
236,"A noncanonical RNA-binding domain of the fragile X protein, FMRP, elicits translational repression independent of mRNA G-quadruplexes",MaKenzie R. Scarpitti; Julia E. Warrick; Evelyn L. Yoder; Michael G. Kearse,2022,Journal of Biological Chemistry,String A
237,SnackVar,Young‐Gon Kim; Man Jin Kim; Jee-Soo Lee; Jung Ae Lee; Ji Yun Song; Sung Im Cho; Sung Sup Park; Moon‐Woo Seong,2020,Journal of Molecular Diagnostics,String A
238,A transformer-based model to predict peptide–HLA class I binding and optimize mutated peptides for vaccine design,Yanyi Chu; Yan Zhang; Qiankun Wang; Lingfeng Zhang; Xuhong Wang; Yanjing Wang; Dennis R. Salahub; Qin Xu; Jianmin Wang; Xue Jiang; Yi Xiong; Dong‐Qing Wei,2022,Nature Machine Intelligence,String A
239,"On the Road to Breeding 4.0: Unraveling the Good, the Bad, and the Boring of Crop Quantitative Genomics",Jason G. Wallace; Eli Rodgers‐Melnick; Edward S. Buckler,2018,Annual Review of Genetics,String A
240,Emerging therapies for glioblastoma: current state and future directions,Liang Rong; Ni Li; Zhenzhen Zhang,2022,Journal of Experimental & Clinical Cancer Research,String A
241,Escherichia coli as a host for metabolic engineering,Sammy Pontrelli; Tsan‐Yu Chiu; Ethan I. Lan; Frederic Y.-H. Chen; Pei‐Ching Chang; James C. Liao,2018,Metabolic Engineering,String A
242,Progress towards therapies for disease modification in Parkinson's disease,Nirosen Vijiaratnam; Tanya Simuni; Oliver Bandmann; Huw R. Morris; Thomas Foltynie,2021,The Lancet Neurology,String A
243,"An Intensive and Comprehensive Overview of JAYA Algorithm, its Versions and Applications",Raed Abu Zitar; Mohammed Azmi Al‐Betar; Mohammed A. Awadallah; Iyad Abu Doush; Khaled Assaleh,2021,Archives of Computational Methods in Engineering,String A
244,"Liquid biopsy in cancer: current status, challenges and future prospects",Liwei Ma; Huiling Guo; Yunxiang Zhao; Zhibo Liu; Chenran Wang; Jiahao Bu; Ting Sun; Jianwei Wei,2024,Signal Transduction and Targeted Therapy,String A
245,Phage treatment of an aortic graft infected with<i>Pseudomonas aeruginosa</i>,Benjamin K. Chan; Paul E. Turner; Samuel Kim; Hamid Mojibian; John A. Elefteriades; Deepak Narayan,2018,Evolution Medicine and Public Health,String A
246,Horizons in the evolution of aging,Thomas Flatt; Linda Partridge,2018,BMC Biology,String A
247,Consensus guidelines for the use and interpretation of angiogenesis assays,Patrycja Nowak‐Sliwinska; Kari Alitalo; Elizabeth Allen; Andrey Anisimov; Alfred C. Aplin; Robert Auerbach; Hellmut G. Augustin; David O. Bates; Judy R. van Beijnum; R. Hugh F. Bender; Gabriele Bergers; Andréas Bikfalvi; Joyce Bischoff; Barbara C. Böck; Peter C. Brooks; Federico Bussolino; Bertan Cakir; Peter Carmeliet; Daniel Castranova; Anca Maria Cîmpean; Ondine Cleaver; George Coukos; George E. Davis; Michele De Palma; Anna Dimberg; Ruud P.M. Dings; Valentin Djonov; Andrew C. Dudley; Neil Dufton; Sarah‐Maria Fendt; Napoleone Ferrara; Marcus Fruttiger; Dai Fukumura; Bart Ghesquière; Yan Gong; Robert J. Griffin; Adrian L. Harris; Christopher C.W. Hughes; Nan W. Hultgren; M. Luisa Iruela‐Arispe; Melita Irving; Rakesh K. Jain; Raghu Kalluri; Joanna Kalucka; Robert S. Kerbel; Jan Kitajewski; Ingeborg Klaassen; Hynda K. Kleinmann; Pieter Koolwijk; Elisabeth Kuczynski; Brenda R. Kwak; Koen M. Marien; Juan M. Melero‐Martin; Lance L. Munn; Roberto F. Nicosia; Agnès Noël; Jussi Nurro; Anna-Karin Olsson; Tatiana V. Petrova; Kristian Pietras; Роберто Пили; Jeffrey W. Pollard; Mark J. Post; Paul H.A. Quax; Gabriel A. Rabinovich; Marius Raica; Anna M. Randi; Doménico Ribatti; Curzio Rüegg; Reinier O. Schlingemann; Stefan Schulte‐Merker; Lois E. H. Smith; Jonathan W. Song; Steven A. Stacker; Jimmy Stalin; Amber N. Stratman; Maureen Van de Velde; Victor W.M. van Hinsbergh; Peter Vermeulen; Johannes Waltenberger; Brant M. Weinstein; Hong Xin; Bahar Yetkin-Arik; Seppo Ylä‐Herttuala; Mervin C. Yöder; Arjan W. Griffioen,2018,Angiogenesis,String A
248,Editorial: In silico Methods for Drug Design and Discovery,Simone Brogi; Teodorico C. Ramalho; Kamil Kuča; José L. Medina‐Franco; Marián Valko,2020,Frontiers in Chemistry,String A
249,"Microbial Biofilm: A Review on Formation, Infection, Antibiotic Resistance, Control Measures, and Innovative Treatment",Satish J. Sharma; James L. Mohler; Supriya D. Mahajan; Stanley A. Schwartz; Liana Bruggemann; Ravikumar Aalinkeel,2023,Microorganisms,String A
250,Resistance to Tyrosine Kinase Inhibitors in Chronic Myeloid Leukemia—From Molecular Mechanisms to Clinical Relevance,Raquel Alves; Ana Cristina Gonçalves; Sergio Rutella; António Almeida; Javier De Las Rivas; Ioannis P. Trougakos; Ana Bela Sarmento‐Ribeiro,2021,Cancers,String A
251,An initial investigation of ChatGPT unit test generation capability,Vitor Guilherme; Auri Marcelo Rizzo Vincenzi,2023,,String B
252,An Investigation of Compression Techniques to Speed up Mutation Testing,Qianqian Zhu; Annibale Panichella; Andy Zaidman,2018,,String B
